res_id,month,inflow_mean,release_mean,storage_mean,storage_pre_mean,release_pre_mean,net_inflow_mean,storage_roll7_mean,release_roll7_mean,inflow_roll7_mean,storage_x_inflow_mean,release_pre2_mean,inflow2_mean,sto_diff_mean,inflow_std,release_std,storage_std,storage_pre_std,release_pre_std,net_inflow_std,storage_roll7_std,release_roll7_std,inflow_roll7_std,storage_x_inflow_std,release_pre2_std,inflow2_std,sto_diff_std
374,1.0,795508.2064516129,569863.0451612903,111047983.87096775,110822338.70967741,571327.6645161291,795508.2064516129,110134626.72811061,580658.6654377879,806578.7391705068,87955967258567.73,415843688274.82837,683368970268.2426,687711.9815668197,225713.36422805785,298001.1853558603,27091806.357103527,27297516.77526227,300258.96839009796,225713.36422805785,27935540.432121236,296731.0448920177,179012.39109241302,38210319960094.52,427833165831.17596,349218147431.5112,685006.2302042029
374,2.0,857863.6318584072,614633.5433628319,117771451.32743363,117528221.23893805,616665.8548672566,857863.6318584072,116802470.29077119,616200.3216182046,858416.9790139066,103226370057161.06,451001088614.1282,763323207384.6938,725750.9481668761,166246.1386955424,266795.4272814331,21932470.013898466,22074540.28874769,267125.0252725923,166246.1386955424,22508744.40013768,260284.2739865483,115985.23046884348,36432858305598.86,344288147715.3514,310053994310.07056,550594.2938770668
374,3.0,964834.1806451613,613374.5032258065,126293266.12903225,125941806.4516129,589114.2193548387,964834.1806451613,124947422.8110599,576368.8258064515,910248.8479262672,125259578148051.61,501574526600.4233,1152632547886.8027,994383.6405529944,472789.8209224738,500965.4178174858,17741107.172583316,17852920.86583899,394683.6896646788,472789.8209224738,18212013.012686126,281109.91789137654,192657.9772260203,79557176691938.5,1126665803328.607,2135939587236.2139,522207.7043347267
374,4.0,1443382.4133333333,876124.08,141684108.33333334,141116850.0,897791.76,1443382.4133333333,139345220.23809522,896745.9085714284,1490799.0323809525,209821658733626.66,2158980476246.7842,3406863598516.758,1771629.7619047617,1155263.0639619518,1135738.6931154425,16977226.28452293,17014053.804172054,1168040.9938369382,1155263.0639619518,17025991.812633835,1092853.643529463,1055815.1727819508,189352595982326.44,5044839889376.115,5923809169748.996,1043051.0263118758
374,5.0,1071168.3096774195,539345.729032258,158374419.3548387,157842596.77419356,545374.9161290323,1071168.3096774195,156155117.5115207,592786.6175115206,1136961.8838709677,154758728038838.72,1027964486334.1006,3273112642306.395,1687479.2626728117,1463896.614748034,854844.4899895276,12630705.973933024,12972171.40051028,858178.2804702972,1463896.614748034,13665356.891387386,821472.7310448898,1333095.5658440301,207308876969667.34,2637049427734.1113,6048243525712.198,2792547.1109568425
374,6.0,406873.92,1104523.9200000002,156879883.33333334,157577533.33333334,1071530.6400000001,406873.92,159422498.8095238,960889.8857142855,396444.81333333335,57978268599400.01,2722084367724.288,968089774348.4586,-1844965.4761904767,899604.051598664,1274280.4438648617,13630902.985054033,13033165.89355648,1259814.4942536482,899604.051598664,11315163.157222498,1183047.0148585397,714443.8597645734,130193149272880.61,4158560087829.8584,1618037182111.6829,2048578.4799150527
374,7.0,803173.4451612904,2378141.187096774,120527588.70967741,122102556.4516129,2335715.3032258064,803173.4451612904,126711436.63594471,2211384.110599078,719721.2423963133,99427782238838.7,7401874391208.465,1639049307011.0964,-4608880.184331798,1001020.8357595996,1382286.9206728735,33001746.421147544,32480199.582195096,1400761.2427260173,1001020.8357595996,30799732.341694053,1358770.1334091795,845567.7195989977,115267552599029.83,6063497830449.517,1421021887852.2666,2556322.700402611
374,8.0,972587.0451612904,2132441.8838709677,74482846.77419356,75642701.61290322,2173225.4709677417,972587.0451612904,79329405.52995391,2272177.459907834,1006384.7428571429,83924727968800.0,5821593069825.569,1739042907864.155,-3686703.9170506913,894184.2405032797,1063555.3263149527,41934372.967332214,41772073.74657264,1052433.6147233709,894184.2405032797,41260752.100158215,988894.8867497941,851589.5619809112,85060236807130.58,3919402892573.073,1061257050802.1433,1430323.3515721394
374,9.0,1407305.8266666667,1364564.16,57795158.333333336,57752416.666666664,1353239.28,1407305.8266666667,57953217.85714285,1357834.937142857,1274794.081904762,68253166181786.664,2561543392455.936,2606331594694.976,-200801.19047619,794406.0123950712,862679.0234482449,45638192.3078246,45665165.432852685,858151.3314982891,794406.0123950712,45535475.639908366,810014.749652441,599037.2350848902,60893245424985.41,2901381925324.2593,3469400544470.5234,1635542.6641667488
374,10.0,1589386.1677419355,1006982.9419354838,70643790.32258065,70061387.09677419,1053914.864516129,1589386.1677419355,68315396.31336406,1163038.7612903223,1708190.4184331798,87448907647677.42,2310946669075.076,4025776299898.632,1745990.7834101373,1229560.8998809198,1076996.726926012,40526662.3890335,40714938.062613264,1099985.4241493684,1229560.8998809198,41340750.59241984,1007254.9456772998,1165130.3827306237,60737766208859.78,4031882566300.8955,5962744390923.865,855012.2101212502
374,11.0,892572.1866666668,422705.51999999996,86624241.66666667,86154375.0,422459.28,892572.1866666668,84738772.61904763,423803.51999999984,896453.5523809524,83055760870066.67,268233784443.64798,864313574412.9707,1415602.3809523808,261145.11758608077,301005.98831727164,36625759.89976487,36711511.41106947,300859.1750508845,261145.11758608077,36983895.413229756,302826.78546869545,239167.88853031467,55426447375315.38,272342590697.48865,465566552015.26654,321773.43014544755
374,12.0,919687.6,541437.6000000001,102434824.07407407,102056574.07407407,537466.4,919687.6,100880279.1005291,525233.9428571428,922431.1851851852,99198025008044.44,395522307002.88,896282904144.5688,1176294.9735449732,225674.9634246215,333539.7894728065,36053138.89217007,36203797.69339633,328098.9563853456,225674.9634246215,36599970.62934355,308716.3114294069,187872.94334931523,54449357334255.35,406573670772.1379,449762034007.4689,570946.4265252127
1003,1.0,498865.71212458285,601971.3850945495,27766419.35483871,27869525.027808677,613458.6447163515,498865.71212458285,28360877.64182425,645312.5385030987,475572.08250437,18805965839473.19,1404451408027.5022,2583557618018.641,-491352.61401557387,1528819.968956538,998406.169392446,8782192.937383268,8861284.804571852,1014526.8842743251,1528819.968956538,9296350.480105316,1028951.8333973096,873113.4024273854,63107201303532.52,3819137553107.37,30448314588170.65,2848068.2299848637
1003,2.0,1206923.872039072,971555.1296703297,29024724.053724054,28789355.31135531,935232.7384615385,1206923.872039072,28027684.45839875,868872.2486656201,1124879.9003663005,48737653765012.945,3001395242564.5293,12984865789661.201,761670.8529565661,3397395.1362004206,1534751.582238016,12872600.55755905,12252630.592736369,1459224.070515695,3397395.1362004206,8568847.93297737,1194120.9527824013,2009972.021200926,173366895550984.62,8816837319818.84,95986620801491.45,6433942.142409587
1003,3.0,1873261.0476190476,1809651.7402597403,36089123.37662338,36025514.06926407,1803659.844155844,1873261.0476190476,36014616.883116886,1744414.4371057514,1794786.2627087198,87647898396779.22,10124542727336.627,36462310939957.09,10897.186147185288,5743596.979849817,2601283.7903233212,21538231.203611203,21623099.91378916,2622746.3623112724,5743596.979849817,20998672.96859184,2292549.193690329,2837554.9503848264,397714898267327.6,23119198618725.703,297694757757810.9,10132136.681687895
1003,4.0,2228829.6035555555,2012874.048,37582532.222222224,37366576.666666664,2027197.44,2228829.6035555555,37038809.84126984,2063127.1954285714,2140056.7182222223,124491586101352.89,12711951485324.697,41313663786975.63,327766.8253968246,6032115.029710436,2929708.184852576,23356163.763717312,22711639.77310345,2934619.379640853,6032115.029710436,20142041.83342031,2668675.3274592883,3448326.238738369,397736175566164.94,30548412388868.953,278874688568953.7,12300809.249352098
1003,5.0,2541904.853333333,2239397.3264516126,46932297.84946237,46629790.32258064,2194196.2838709676,2541904.853333333,45378764.20890937,2106022.243686636,2542889.015299539,174343762076891.2,14820674395089.656,52911052483863.74,1251026.1136712742,6819074.12742044,3210562.3669113633,35993097.57549513,35851432.55911104,3164956.2358328565,6819074.12742044,33541720.519311577,2673832.840495391,4015585.671306927,550134425723597.25,36629501333230.25,406602635681438.2,13579446.413455691
1003,6.0,2377101.9608888887,2467323.072,50142784.44444445,50233005.55555555,2491122.624,2377101.9608888887,50698262.53968254,2502150.6514285714,2373069.613968254,197151735534387.56,18566290445442.05,68702769593791.69,-465256.98412698496,7944953.853927795,3495910.8116096766,41115714.56027738,40828761.26116506,3517719.1179744457,7944953.853927795,39278687.92032268,3188936.1045787763,4413051.585249871,850704815556036.1,43256577369425.516,612749781027628.0,15408295.284344658
1003,7.0,769854.1075268817,1287991.7419354839,37871654.838709675,38389792.47311828,1317826.498064516,769854.1075268817,39511490.01536098,1447331.7367741936,1020531.173701997,64440923483640.44,9914574497517.635,9635835759309.994,-1121697.542242705,3008802.869551067,2845626.6670521246,31831975.50280871,32839759.134497076,2861242.8651345936,3008802.869551067,32843578.852729347,2628318.402684776,3549258.060160042,446250347525760.25,47117647735427.13,92240863095885.1,11129614.852305753
1003,8.0,678672.6761290322,706140.418064516,30283201.075268816,30310668.8172043,698819.2722580646,678672.6761290322,30370590.78341014,691089.1266359447,666360.0845468511,36469807862043.87,3859344523423.3145,15457490084988.193,-59921.96620583817,3874665.9899532357,1873426.079016998,15193314.55638486,15211967.883232998,1837015.1814659648,3874665.9899532357,13951997.548268571,1634141.519662098,2258140.820285132,218916349619853.62,14783278532005.824,186558756996134.1,7401840.759580145
1003,9.0,818498.8494892168,727719.0538024971,29877737.79795687,29786958.002270147,738463.2517593643,818498.8494892168,30013297.8757905,774991.3000162154,689721.2611642615,48703583043808.4,5217338965497.7,24123317917623.906,-226339.8735203515,4845619.580240242,2132219.471339414,16694371.923115537,16217415.401472447,2162711.283250237,4845619.580240242,15498804.524290163,2104168.100173939,2504841.102722473,323220054021539.0,23113405134397.94,291121939517451.8,8979934.637177072
1003,10.0,851908.4689655172,924859.525695217,33334037.819799777,33406988.876529478,924748.1379310344,851908.4689655172,33415043.699348483,915695.6201493723,919968.9389480377,81936891160227.81,8070293460538.502,29161167946488.73,-8054.822819006173,5335455.48058331,2688718.447299353,30237159.62559169,30285737.680292986,2687595.39601685,5335455.48058331,29018303.918508325,2455321.0243033813,3722062.59489684,627931428716208.8,32620464319281.43,480379021865136.44,11824773.763184171
