ID,DAM_NAME,STATE,AGENCY_CODE,longtitude,lattitude,feature_id,dataset,rts,max_sto,split
41,Ross,Washington,SCL,-121.067305,48.732466,24260289,plrt,128.2375373,1296355000,val
42,Diablo,Washington,SCL,-121.13032,48.714583,24260717,plrt,11.70432508,110891000,val
55,Keechelus,Washington,BOR_PN,-121.340171,47.323654,24136769,plrt,127.6284426,197431000,train
56,Keechelus,Washington,,-121.78375,47.277917,23979340,gdrom,8.404,94999070.87,test
57,Kachess,Washington,BOR_PN,-121.205208,47.265956,24136753,plrt,248.5881845,297691000,train
60,Bumping Lake,Washington,BOR_PN,-121.302083,46.86875,24428511,plrt,33.48284987,45048000,train
63,Tieton,Washington,BOR_PN,-121.128322,46.654792,24428693,plrt,131.6572119,246101000,val
78,Wasco,Oregon,BOR_PN,-121.690853,45.17581,23727371,plrt,478.1738791,12772000,train
80,Detroit,Oregon,,-122.249583,44.720417,23783629,gdrom,68.603,561405691.2,test
85,Foster,Oregon,,-122.66875,44.41875,23788981,gdrom,7.71,74122390.73,test
87,Ochoco,Oregon,,-120.722917,44.29875,23717064,gdrom,194.951,57196552.92,test
88,Blue River Dam,Oregon,,-122.32875,44.174583,23777375,gdrom,49.157,106406310.9,test
89,Cougar,Oregon,,-122.24125,44.127083,23777431,gdrom,67.869,266282826.1,test
90,Fern Ridge,Oregon,,-123.299583,44.11875,23769069,gdrom,57.144,127270656.3,test
92,Fall Creek,Oregon,,-122.755417,43.945417,23756162,gdrom,57.023,151835447.1,test
94,Lookout Point,Oregon,,-122.750417,43.914583,23756172,gdrom,45.134,548254307.8,test
97,Dorena,Oregon,,-122.952917,43.782917,23761332,gdrom,27.546,96159777.28,test
99,Cottage Grove,Oregon,,-123.057917,43.715417,23761342,gdrom,35.421,40133798.63,test
100,Hills Creek,Oregon,,-122.42125,43.70875,23756364,gdrom,113.237,435124287.4,test
107,William L. Jess,Oregon,,-122.672917,42.674583,23927716,gdrom,90.357,577239897.6,test
111,Howard Prairie,Oregon,BOR_PN,-122.378342,42.217605,8263894,plrt,54480.38126,76008000,val
113,Hyatt Dam,Oregon,BOR_PN,-122.467427,42.173159,358637,plrt,553.9025583,20080000,train
114,Emigrant,Oregon,BOR_PN,-122.605417,42.16125,23934034,plrt,365.5367382,48336000,train
116,Applegate Dam,Oregon,,-123.115417,42.054583,23938563,gdrom,51.925,102142164.2,test
131,Trinity,California,CDEC,-122.762083,40.80375,8245358,plrt,461.5892669,3027308000,train
132,Shasta,California,BOR,-122.422031,40.720459,,plrt,213.7238089,5595835000,val
133,Whiskeytown,California,BOR,-122.540564,40.599432,2781993,plrt,113.2060155,301285000,train
144,Black Butte Dam,California,,-122.34125,39.81625,7989989,gdrom,56.188,181089935.9,test
148,Oroville,California,,-121.482917,39.54125,12076080,gdrom,202.638,4413850711,test
153,Independence,California,,-120.290738,39.450598,8932968,gdrom,357.058,22572717.67,test
157,Boca,California,,-120.095694,39.391436,8932970,gdrom,62.832,50412402.8,test
158,New Bullards Bar,California,CDEC,-121.142593,39.393473,8060079,plrt,241.8375246,1186518000,train
160,Prosser Creek,California,,-120.141076,39.3785,8932974,gdrom,74.666,41568338.01,test
163,Martis Creek Dam,California,DUKE,-120.113874,39.325992,,plrt,14546.5835,20778000,train
165,Donner Lake,California,,-120.241002,39.323946,8932994,gdrom,80.488,15788567.55,test
168,Harry L. Englebright Dam,California,,-121.269583,39.24125,8060131,gdrom,14.634,97524008.2,test
169,Coyote Valley Dam,California,,-123.180998,39.197467,8306696,gdrom,246.897,129854924.1,test
180,Warm Springs Dam,California,,-123.012083,38.720417,8271433,gdrom,455.935,421396868,test
182,Folsom,California,BOR,-121.157917,38.712083,20194524,plrt,105.956263,1192674000,train
185,Monticello,California,BOR,-122.107917,38.514583,130951632,plrt,1352.322906,2059912000,train
192,Beardsley,California,,-120.07375,38.207917,342083,gdrom,42.583,120650559.2,test
193,New Hogan Dam,California,,-120.812917,38.15375,17065952,gdrom,378.228,383684394.2,test
198,New Melones,California,CDEC,-120.524583,37.949583,120051899,plrt,680.9640553,2483117000,train
203,Farmington Dam,California,,-120.934583,37.91625,,gdrom,1.032,65390475.24,test
204,Tulloch,California,BOR,-120.602083,37.877114,347987,plrt,35.78774824,82396000,train
210,Don Pedro,California,,-120.420417,37.70375,17080041,gdrom,278.503,2523252390,test
214,Exchequer Main,California,,-120.27125,37.58625,21606665,gdrom,207.752,1260057206,test
223,Coyote,California,,-121.54875,37.11875,17693823,gdrom,158.084,137261859.2,test
292,Lake Sherburne,Montana,BOR,-113.524583,48.82875,9304984,plrt,80.6581468,84334000,train
293,Fresno,Montana,BOR,-109.949583,48.599583,167204918,plrt,202.053451,160513000,val
295,Nelson Dike,Montana,BOR,-107.524583,48.532917,167204935,plrt,354.8697184,97136000,train
297,Libby,Montana,ACE_SEA,-115.313542,48.411432,22886855,plrt,165.621896,5727048000,train
300,Tiber Dike,Montana,BOR,-111.10375,48.324583,12642095,plrt,555.3525084,1272631000,train
305,Albeni Falls,Idaho,,-116.997917,48.17875,,gdrom,18.99,1902396204,test
306,Swift Dike,Montana,BOR,-112.87875,48.162083,12538136,plrt,74.32535272,36979000,train
307,Fort Peck Dam,Montana,ACE_OMA,-106.414583,48.001098,167204901,plrt,3252.628523,23146252200,val
310,Grand Coulee,Washington,BOR_PN,-118.98095,47.954652,,plrt,46.14637157,6396128000,val
316,Kerr,Montana,,-114.232292,47.676175,120054065,gdrom,35.666,1558480869,test
317,Pishkun Dike 1,Montana,BOR,-112.48791,47.674729,,plrt,54.86131963,59377000,train
319,Gibson,Montana,BOR,-112.76625,47.599583,12394600,plrt,33.38374646,122348000,train
320,Willow Creek,Montana,BOR,-112.428497,47.549113,12394688,plrt,1882.101923,44445984.84,train
353,Willow Creek Reservoir,Oregon,,-119.54375,45.344451,,gdrom,130.158,11225901.48,test
355,Yellowtail,Montana,BOR,-107.957917,45.307083,167204997,plrt,152.8900041,1529569000,val
361,Thief Valley,Oregon,BOR_PN,-117.782917,45.01375,24215369,plrt,30.86336972,18254000,train
362,Clark Canyon,Montana,BOR,-112.862083,44.999583,4167440,plrt,389.5436535,349165000,train
364,Hebgen Dam,Montana,BOR,-111.334057,44.863227,3056866,plrt,148.8247128,476347000,train
365,NA,NA,NA,NA,NA,120054057,plrt,148.8187027,1752340895,train
367,Mason,Oregon,BOR_PN,-117.999583,44.67125,24215523,plrt,187.7198489,106369000,train
368,Lima,Montana,BOR ,-112.363205,44.654902,4167460,plrt,132.6069466,103031000,train
370,Cascade,Idaho,,-116.05375,44.524583,120054056,gdrom,246.691,820292560.2,test
372,Unity,Oregon,BOR_PN,-118.182917,44.504583,24204827,plrt,76.99985285,32550000,train
373,Buffalo Bill,Wyoming,BOR,-109.186819,44.500233,,plrt,166.0536968,797626000,train
374,Island Park,Idaho,BOR,-111.394991,44.420051,24465514,plrt,107.9529052,169453000,train
378,Grassy Lake,Wyoming,BOR_PN,-110.817278,44.129764,,plrt,812.8078375,19036000,train
382,Bully Creek,Oregon,BOR_PN,-117.399583,44.01625,24152927,plrt,159.1887145,38811000,train
384,Jackson Lake,Wyoming,BOR_PN,-110.591126,43.857485,,plrt,170.8931855,1078232000,train
385,Anchor,Wyoming,BOR,-108.827888,43.663883,,plrt,15.02589696,9822000,train
386,Owyhee,Oregon,BOR_PN,-117.24125,43.64125,120052938,plrt,420.7679683,900883000,train
387,Arrowrock,Idaho,,-115.92125,43.594583,,gdrom,33.674,357953429,test
390,Ririe,Idaho,BOR_PN,-111.740813,43.580736,,plrt,207.3377626,103652000,train
391,Lucky Peak,Idaho,BOR_PN,-116.05125,43.527917,120053990,plrt,32.47080014,327285000,train
393,Boysen,Wyoming,BOR,-108.17875,43.415417,12869679,plrt,227.5463954,1094260000,val
396,Palisades,Idaho,,-111.20375,43.33125,120052927,gdrom,52.771,1498169774,test
